name,period,value
WHEAT,1,1.0
WHEAT,2,1.07
WHEAT,3,0.99
WHEAT,4,0.94
WHEAT,5,0.85
WHEAT,6,0.81
WHEAT,7,0.86
WHEAT,8,0.99
WHEAT,9,1.08
WHEAT,10,1.13
WHEAT,11,1.21
WHEAT,12,1.08
BARLEY,1,1.0
BARLEY,2,1.07
BARLEY,3,0.99
BARLEY,4,0.94
BARLEY,5,0.85
BARLEY,6,0.81
BARLEY,7,0.86
BARLEY,8,0.99
BARLEY,9,1.08
BARLEY,10,1.13
BARLEY,11,1.21
BARLEY,12,1.08
OAT,1,1.0
OAT,2,1.07
OAT,3,0.99
OAT,4,0.94
OAT,5,0.85
OAT,6,0.81
OAT,7,0.86
OAT,8,0.99
OAT,9,1.08
OAT,10,1.13
OAT,11,1.21
OAT,12,1.08
CANOLA,1,1.07
CANOLA,2,0.99
CANOLA,3,0.94
CANOLA,4,0.85
CANOLA,5,0.81
CANOLA,6,0.86
CANOLA,7,0.99
CANOLA,8,1.08
CANOLA,9,1.13
CANOLA,10,1.21
CANOLA,11,1.08
CANOLA,12,1.0
SORGHUM,1,1.12
SORGHUM,2,1.04
SORGHUM,3,0.93
SORGHUM,4,0.85
SORGHUM,5,0.79
SORGHUM,6,0.79
SORGHUM,7,0.86
SORGHUM,8,0.96
SORGHUM,9,1.08
SORGHUM,10,1.16
SORGHUM,11,1.22
SORGHUM,12,1.21
SUNFLOWER,1,1.2
SUNFLOWER,2,1.17
SUNFLOWER,3,1.05
SUNFLOWER,4,0.87
SUNFLOWER,5,0.94
SUNFLOWER,6,0.99
SUNFLOWER,7,1.1
SUNFLOWER,8,1.11
SUNFLOWER,9,1.06
SUNFLOWER,10,0.65
SUNFLOWER,11,0.74
SUNFLOWER,12,1.12
SOYBEAN,1,0.99
SOYBEAN,2,1.05
SOYBEAN,3,1.16
SOYBEAN,4,1.42
SOYBEAN,5,1.59
SOYBEAN,6,1.13
SOYBEAN,7,0.87
SOYBEAN,8,0.81
SOYBEAN,9,0.77
SOYBEAN,10,0.87
SOYBEAN,11,0.74
SOYBEAN,12,0.64
MAIZE,1,1.12
MAIZE,2,1.08
MAIZE,3,1.04
MAIZE,4,1.14
MAIZE,5,1.31
MAIZE,6,0.98
MAIZE,7,0.88
MAIZE,8,0.71
MAIZE,9,0.61
MAIZE,10,0.92
MAIZE,11,1.33
MAIZE,12,0.98
POTATO,1,1.0
POTATO,2,0.95
POTATO,3,0.9
POTATO,4,0.95
POTATO,5,1.0
POTATO,6,1.0
POTATO,7,1.0
POTATO,8,1.05
POTATO,9,1.1
POTATO,10,1.15
POTATO,11,1.1
POTATO,12,1.05
SUGARBEET,1,1.0
SUGARBEET,2,0.95
SUGARBEET,3,0.9
SUGARBEET,4,0.95
SUGARBEET,5,1.0
SUGARBEET,6,1.0
SUGARBEET,7,1.0
SUGARBEET,8,1.05
SUGARBEET,9,1.1
SUGARBEET,10,1.15
SUGARBEET,11,1.1
SUGARBEET,12,1.05
BEETROOT,1,1.05
BEETROOT,2,1.0
BEETROOT,3,0.95
BEETROOT,4,0.9
BEETROOT,5,0.95
BEETROOT,6,1.0
BEETROOT,7,1.0
BEETROOT,8,1.0
BEETROOT,9,1.05
BEETROOT,10,1.1
BEETROOT,11,1.15
BEETROOT,12,1.1
CARROT,1,1.05
CARROT,2,1.0
CARROT,3,0.95
CARROT,4,0.9
CARROT,5,0.95
CARROT,6,1.0
CARROT,7,1.0
CARROT,8,1.0
CARROT,9,1.05
CARROT,10,1.1
CARROT,11,1.15
CARROT,12,1.1
PARSNIP,1,1.05
PARSNIP,2,1.0
PARSNIP,3,0.95
PARSNIP,4,0.9
PARSNIP,5,0.95
PARSNIP,6,1.0
PARSNIP,7,1.0
PARSNIP,8,1.0
PARSNIP,9,1.05
PARSNIP,10,1.1
PARSNIP,11,1.15
PARSNIP,12,1.1
COTTON,1,1.11
COTTON,2,1.03
COTTON,3,1.02
COTTON,4,1.02
COTTON,5,0.92
COTTON,6,0.9
COTTON,7,0.87
COTTON,8,1.02
COTTON,9,1.02
COTTON,10,1.04
COTTON,11,0.98
COTTON,12,1.07
RICELONGGRAIN,1,0.94
RICELONGGRAIN,2,0.96
RICELONGGRAIN,3,1.01
RICELONGGRAIN,4,1.01
RICELONGGRAIN,5,1.05
RICELONGGRAIN,6,1.04
RICELONGGRAIN,7,1.05
RICELONGGRAIN,8,1.04
RICELONGGRAIN,9,1.02
RICELONGGRAIN,10,1.01
RICELONGGRAIN,11,0.97
RICELONGGRAIN,12,0.94
RICE,1,0.94
RICE,2,0.96
RICE,3,1.01
RICE,4,1.01
RICE,5,1.05
RICE,6,1.04
RICE,7,1.05
RICE,8,1.04
RICE,9,1.02
RICE,10,1.01
RICE,11,0.97
RICE,12,0.94
GREENBEAN,1,0.94
GREENBEAN,2,0.94
GREENBEAN,3,0.96
GREENBEAN,4,1.01
GREENBEAN,5,1.01
GREENBEAN,6,1.05
GREENBEAN,7,1.04
GREENBEAN,8,1.05
GREENBEAN,9,1.04
GREENBEAN,10,1.02
GREENBEAN,11,1.01
GREENBEAN,12,0.97
PEA,1,0.98
PEA,2,0.94
