id,type,subtype,unit_max,point_cost,point_upkeep,revenue_day,has_manure,price_buy_unit,animal_cost,fill_type,consumption,prod_wgt,cost_day_unit,cost_day,revenue_day_adj,profit_day,point_animal_cost,cost_recoup_days
chickenBarnBig,CHICKEN,CHICKEN,360,79000.0,100.0,2016.0,0,55.0,19800.0,BARLEY,SERIAL,1.0,1.565,563.4,2016.0,1352.6,98800.0,73.0445068756469
chickenBarnBig,CHICKEN,CHICKEN,360,79000.0,100.0,2016.0,0,55.0,19800.0,SORGHUM,SERIAL,1.0,2.15,774.0,2016.0,1142.0,98800.0,86.5148861646234
chickenBarnBig,CHICKEN,CHICKEN,360,79000.0,100.0,2016.0,0,55.0,19800.0,WHEAT,SERIAL,1.0,1.685,606.6,2016.0,1309.4,98800.0,75.454406598442
chickenBarnSmall,CHICKEN,CHICKEN,31,2450.0,10.0,173.6,0,55.0,1705.0,BARLEY,SERIAL,1.0,1.565,48.515,173.6,115.085,4155.0,36.1037494026154
chickenBarnSmall,CHICKEN,CHICKEN,31,2450.0,10.0,173.6,0,55.0,1705.0,SORGHUM,SERIAL,1.0,2.15,66.65,173.6,96.95,4155.0,42.8571428571428
chickenBarnSmall,CHICKEN,CHICKEN,31,2450.0,10.0,173.6,0,55.0,1705.0,WHEAT,SERIAL,1.0,1.685,52.235,173.6,111.365,4155.0,37.309747227585
chickenCoop01,CHICKEN,CHICKEN,20,6900.0,10.0,112.0,0,55.0,1100.0,BARLEY,SERIAL,1.0,1.565,31.3,112.0,70.7,8000.0,113.154172560113
chickenCoop01,CHICKEN,CHICKEN,20,6900.0,10.0,112.0,0,55.0,1100.0,SORGHUM,SERIAL,1.0,2.15,43.0,112.0,59.0,8000.0,135.593220338983
chickenCoop01,CHICKEN,CHICKEN,20,6900.0,10.0,112.0,0,55.0,1100.0,WHEAT,SERIAL,1.0,1.685,33.7,112.0,68.3,8000.0,117.130307467057
chickenCoop02,CHICKEN,CHICKEN,20,5700.0,10.0,112.0,0,55.0,1100.0,BARLEY,SERIAL,1.0,1.565,31.3,112.0,70.7,6800.0,96.1810466760962
